abstracts,title
"Introduction: Anemia is a common complication of chronic kidney disease (CKD) in children; however, the role of inflammation in its pathogenesis remains incompletely understood. Methods: To elucidate the role of interleukin (IL)-6 in renal anemia, we induced CKD by adenine diet in juvenile wild-type (WT) and IL-6 deficient (Il6KO) mice, and examined serum IL-6 and relevant parameters in children with CKD. Results: WT-CKD mice developed anemia despite increases in serum erythropoietin and displayed low serum iron and elevated serum IL-6. IL-6 deficiency resulted in a significant improvement of red blood cell count and hemoglobin in CKD mice. This effect was associated with improvement of hypoferremia by Il6 deletion, likely mediated by hepcidin. However, correction of hypoferremia by oral iron supplementation in WT-CKD mice did not fully replicate the protective effects of Il6 deletion, suggesting an additional iron-independent role for IL-6 in CKD-anemia. Indeed, Il6 deletion mitigated the severity of renal fibrosis and alleviated relative erythropoietin insufficiency in CKD mice. Cytokine profiling in a pediatric CKD cohort demonstrated that of 10 cytokines (IL-1beta, IL-2, IL-4, IL-6, IL-8, IL-10, IL-12, IL-13, tumor necrosis factor (TNF)-alpha, and interferon-gamma), only IL-6 was significantly (inversely) associated with hemoglobin when adjusted for glomerular filtration rate (GFR). The association between IL-6 and hemoglobin in children with CKD remained significant after adjustment for CKD stage, iron therapy, and hepcidin. Discussion: IL-6 contributes to development of anemia in juvenile CKD, through mechanisms that include induction of hypoferremia, aggravation of renal fibrosis, and alteration of the erythropoietin axis. IL-6 appears to be a promising therapeutic target in the management of CKD-anemia.",Interleukin-6 Contributes to the Development of Anemia in Juvenile CKD.
"Low signal-to-noise ratios and limited imaging depths restrict the ability of optical-imaging modalities to detect and accurately quantify molecular emissions from tissue. Here, by using a scanning external X-ray beam from a clinical linear accelerator to induce Cherenkov excitation of luminescence in tissue, we demonstrate in vivo mapping of the oxygenation of tumours at depths of several millimetres, with submillimetre resolution and nanomolar sensitivity. This was achieved by scanning thin sheets of the X-ray beam orthogonally to the emission-detection plane, and by detecting the signal via a time-gated CCD camera synchronized to the radiation pulse. We also show with experiments using phantoms and with simulations that the performance of Cherenkov-excited luminescence scanned imaging (CELSI) is limited by beam size, scan geometry, probe concentration, radiation dose and tissue depth. CELSI might provide the highest sensitivity and resolution in the optical imaging of molecular tracers in vivo.",Maps of in vivo oxygen pressure with submillimetre resolution and nanomolar sensitivity enabled by Cherenkov-excited luminescence scanned imaging.
"The major hurdles currently preventing advance and innovation in thoracic insufficiency syndrome (TIS) assessment and treatment are the lack of standardizable objective diagnostic measurement techniques that describe the 3D thoraco-abdominal structures and the dynamics of respiration. Our goal is to develop, test, and evaluate a quantitative dynamic magnetic resonance imaging (QdMRI) methodology and a biomechanical understanding for deriving key quantitative parameters from free-tidal-breathing dMRI image data for describing the 3D structure and dynamics of the thoraco-abdominal organs of TIS patients. In this paper, we propose an idea of a shape sketch to codify and then quantify the overall thoracic architecture, which involves the selection of 3D landmark points and computation of 3D dynamic distances over a respiratory cycle. We perform two statistical analyses of distance sketches on 25 different TIS patients to try to understand the pathophysiological mechanisms in relation to spine deformity and to quantitatively evaluate improvements from pre-operative to post-operative states. This QdMRI methodology involves developing: (1) a 4D image construction method; (2) an algorithm for the 4D segmentation of thoraco-abdominal structures; and (3) a set of key quantitative parameters. We illustrate that the TIS dynamic distance analysis method produces results previously unknown and precisely describes the morphologic and dynamic alterations of the thorax in TIS. A set of 3D thoraco-abdominal distances and/or distance differences enables the precise estimation of key measures such as left & right differences, differences over tidal breathing, and differences from pre- to post-operative condition.",Architectural Analysis on Dynamic MRI to Study Thoracic Insufficiency Syndrome.
"Failure to predict and understand the causes of preterm birth, the leading cause of neonatal morbidity and mortality, have limited effective interventions and therapeutics. From a cohort of 2000 pregnant women, we performed a nested case control study on 107 well-phenotyped cases of spontaneous preterm birth (sPTB) and 432 women delivering at term. Using innovative Bayesian modeling of cervicovaginal microbiota, seven bacterial taxa were significantly associated with increased risk of sPTB, with a stronger effect in African American women. However, higher vaginal levels of beta-defensin-2 lowered the risk of sPTB associated with cervicovaginal microbiota in an ethnicity-dependent manner. Surprisingly, even in Lactobacillus spp. dominated cervicovaginal microbiota, low beta-defensin-2 was associated with increased risk of sPTB. These findings hold promise for diagnostics to accurately identify women at risk for sPTB early in pregnancy. Therapeutic strategies could include immune modulators and microbiome-based therapeutics to reduce this significant health burden.",Cervicovaginal microbiota and local immune response modulate the risk of spontaneous preterm delivery.
"RNA polymerase III (Pol III) is an essential enzyme responsible for the synthesis of several small non-coding RNAs, a number of which are involved in mRNA translation. Recessive mutations in POLR3A, encoding the largest subunit of Pol III, cause POLR3-related hypomyelinating leukodystrophy (POLR3-HLD), characterized by deficient central nervous system myelination. Identification of the downstream effectors of pathogenic POLR3A mutations has been so far elusive. Here, we used CRISPR-Cas9 to introduce the POLR3A mutation c.2554A>G (p.M852V) into human cell lines and assessed its impact on Pol III biogenesis, nuclear import, DNA occupancy, transcription, and protein levels. Transcriptomic profiling uncovered a subset of transcripts vulnerable to Pol III hypofunction, including a global reduction in tRNA levels. The brain cytoplasmic BC200 RNA (BCYRN1), involved in translation regulation, was consistently affected in all our cellular models, including patient-derived fibroblasts. Genomic BC200 deletion in an oligodendroglial cell line led to major transcriptomic and proteomic changes, having a larger impact than those of POLR3A mutations. Upon differentiation, mRNA levels of the MBP gene, encoding myelin basic protein, were significantly decreased in POLR3A-mutant cells. Our findings provide the first evidence for impaired Pol III transcription in cellular models of POLR3-HLD and identify several candidate effectors, including BC200 RNA, having a potential role in oligodendrocyte biology and involvement in the disease.",Leukodystrophy-associated POLR3A mutations down-regulate the RNA polymerase III transcript and important regulatory RNA BC200.
"Malignant peripheral nerve sheath tumor (MPNST) is an aggressive sarcoma with recurrent loss of function alterations in polycomb-repressive complex 2 (PRC2), a histone-modifying complex involved in transcriptional silencing.To understand the role of PRC2 loss in pathogenesis and identify therapeutic targets, we conducted parallel global epigenomic and proteomic analysis of archival formalin-fixed, paraffin-embedded human MPNST with and without PRC2 loss (MPNSTLOSS vs. MPNSTRET). Loss of PRC2 resulted in increased histone post-translational modifications (PTMs) associated with active transcription, most notably H3K27Ac and H3K36me2, whereas repressive H3K27 di- and trimethylation (H3K27me2/3) marks were globally lost without a compensatory gain in other repressive PTMs. Instead, DNA methylation globally increased in MPNSTLOSS. Epigenomic changes were associated with upregulation of proteins in growth pathways and reduction in interferon signaling and antigen presentation, suggesting a role for epigenomic changes in tumor progression and immune evasion, respectively. These changes also resulted in therapeutic vulnerabilities. Knockdown of NSD2, the methyltransferase responsible for H3K36me2, restored MHC expression and induced interferon pathway expression in a manner similar to PRC2 restoration. MPNSTLOSS were also highly sensitive to DNA methyltransferase and HDAC inhibitors. Overall, these data suggest that global loss of PRC2-mediated repression renders MPNST differentially dependent on DNA methylation to maintain transcriptional integrity and makes them susceptible to therapeutics that promote aberrant transcription initiation.",Epigenomic reordering induced by Polycomb loss drives oncogenesis but leads to therapeutic vulnerabilities in malignant peripheral nerve sheath tumors.
"BACKGROUND: Heart transplant volume varies significantly among centers. We hypothesize that centers where the transplant team routinely accepts organs previously declined by other centers and where operating room availability is unrestricted will have higher transplant volumes. METHODS AND RESULTS: We utilized the potential transplant recipient sequence number in the United Network for Organ Sharing database as a surrogate for graft acceptance threshold and the number of transplants occurring on weekends and 8 major holidays as a marker of center resource availability. Centers were classified as low-, medium-, or high-volume if the average number of annual transplants were <10, between 10 and 30, or >30 over a 10-year period, respectively. Between 7/12/2006 and 12/31/2015, 19,054 transplants were performed by 142 centers. There were 59 low-volume centers, 69 medium-volume centers, and 14 high-volume centers with median potential transplant recipient sequence number for transplanted candidates of 7 (IQR 3-11), 7 (5-10), and 15 (7-40), respectively (p=.002). The median proportion of off-hours transplants performed by medium volume centers was 28% (25-31%) compared to 32% (29-33%) by high volume centers (p=.009). Five-year survival was equivalent among all centers (p=.053).",Transplant Volume is Associated with Graft Acceptance Threshold and Center Resource Availability.
"There is scant literature describing the effect of glomerular disease on health-related quality of life (HRQOL). The Cure Glomerulonephropathy study (CureGN) is an international longitudinal cohort study of children and adults with four primary glomerular diseases (minimal change disease, focal segmental glomerulosclerosis, membranous nephropathy, and IgA nephropathy). HRQOL is systematically assessed using items from the Patient-Reported Outcomes Measurement Informative System (PROMIS). We assessed the relationship between HRQOL and demographic and clinical variables in 478 children and 1115 adults at the time of enrollment into CureGN. Domains measured by PROMIS items included global assessments of health, mobility, anxiety, fatigue, and sleep impairment, as well as a derived composite measure incorporating all measured domains. Multivariable models were created that explained 7 to 32% of variance in HRQOL. Patient-reported edema consistently had the strongest and most robust association with each measured domain of HRQOL in multivariable analysis (adjusted beta [95% CI] for composite PROMIS score in children, -5.2 [-7.1 to -3.4]; for composite PROMIS score in adults, -6.1 [-7.4 to -4.9]). Female sex, weight (particularly obesity), and estimated glomerular filtration rate were also associated with some, but not all, domains of HRQOL. Primary diagnosis, disease duration, and exposure to immunosuppression were not associated with HRQOL after adjustment. Sensitivity analyses and interaction testing demonstrated no significant association between disease duration or immunosuppression and any measured domain of HRQOL. Thus, patient-reported edema has a consistent negative association with HRQOL in patients with primary glomerular diseases, with substantially greater impact than other demographic and clinical variables.",Health-related quality of life in glomerular disease.
"OBJECTIVES: This study hypothesized that paroxysmal atrial fibrillation (PAF) reflects the presence of a more severe cardiac hypertrophic cardiomyopathy (HCM) phenotype. BACKGROUND: HCM is characterized by myocyte hypertrophy, fibrosis, and a high prevalence of PAF. It is currently unresolved whether atrial fibrillation (AF) is a marker or a mediator of adverse outcomes in HCM. METHODS: This study retrospectively examined 45 HCM patients who underwent cardiovascular magnetic resonance (CMR) imaging in sinus rhythm. The function of all 4 cardiac chambers was assessed, as well as late gadolinium enhancement (LGE) in the left atrium (LA) and left ventricle (LV), as indicators of fibrosis. A fat-saturated, 3-dimensional inversion recovery-prepared, fast-spoiled, gradient-recalled echo sequence, and the image intensity ratio method were used to measure LA-LGE; LGE in the LV was quantified using a semi-automated threshold technique. RESULTS: HCM patients (n = 45) were divided into 2 groups (PAF, no AF) based on history of PAF. All HCM patients had LGE in the LA posterior wall. The PAF group (n = 18) had higher LA volume, a lower LA ejection fraction, a lower global peak longitudinal LA strain (PLAS), and a higher amount of LA-LGE compared with the no AF group (n = 27). A modest inverse association was noted between the LA ejection fraction, PLAS, and LA-LGE; a positive association was present between LV-LGE and LA-LGE. The PAF group had lower ejection fractions in the LV, right atrium, and right ventricle compared with those in the no AF group. CONCLUSIONS: PAF is associated with a greater degree of structural LA remodeling and global myopathy, which suggests a more severe cardiac HCM phenotype.",Hypertrophic Cardiomyopathy Patients With Paroxysmal Atrial Fibrillation Have a High Burden of Left Atrial Fibrosis by Cardiac Magnetic Resonance Imaging.
"OBJECTIVES: The aim of the present study was to investigate the natural history of chronic pancreatitis (CP); patients in the North American Pancreatitis Study2 (NAPS2, adults) and INternational Study group of Pediatric Pancreatitis: In search for a cuRE (INSPPIRE, pediatric) were compared. METHODS: Demographics, risk factors, disease duration, management and outcomes of 224 children and 1063 adults were compared using appropriate statistical tests for categorical and continuous variables. RESULTS: Alcohol was a risk in 53% of adults and 1% of children (P < 0.0001); tobacco in 50% of adults and 7% of children (P < 0.0001). Obstructive factors were more common in children (29% vs 19% in adults, P = 0.001). Genetic risk factors were found more often in children. Exocrine pancreatic insufficiency was similar (children 26% vs adult 33%, P = 0.107). Diabetes was more common in adults than children (36% vs 4% respectively, P < 0.0001). Median emergency room visits, hospitalizations, and missed days of work/school were similar across the cohorts. As a secondary analysis, NAPS2 subjects with childhood onset (NAPS2-CO) were compared with INSPPIRE subjects. These 2 cohorts were more similar than the total INSPPIRE and NAPS2 cohorts, including for genetic risk factors. The only risk factor significantly more common in the NAPS2-CO cohort compared with the INSPPIRE cohort was alcohol (9% NAPS2-CO vs 1% INSPPIRE cohorts, P = 0.011). CONCLUSIONS: Despite disparity in age of onset, children and adults with CP exhibit similarity in demographics, CP treatment, and pain. Differences between groups in radiographic findings and diabetes prevalence may be related to differences in risk factors associated with disease and length of time of CP.",Chronic Pancreatitis: Pediatric and Adult Cohorts Show Similarities in Disease Progress Despite Different Risk Factors.
"We examined whether hospitals participating in Medicare's Shared Saving Program increased the use of highly rated skilled nursing facilities (SNFs) or decreased the use of low-rated SNFs hospital-wide after initiation of their accountable care organization (ACO) contracts compared with non-ACO hospitals. Using a difference-in-differences design, we estimated the change in the probability of discharge to 5-star and 1-star SNFs among all beneficiaries discharged from ACO-participating hospitals after the hospital initiated ACO participation. After joining an ACO, the percentage of hospital discharges going to a high-quality SNF increased by 3.4 percentage points on a base of 15.4% (95% confidence interval [CI] 1.3-5.5, P = .002) compared with non-ACO-participating hospitals. The probability of discharge from an ACO-participating hospital to low-quality SNFs did not change significantly compared with non-ACO-participating hospitals. Our findings indicate that ACO-participating hospitals were more likely to discharge patients to highly rated SNFs after they began their ACO contract but did not change the likelihood of discharge to lower rated SNFs in comparison with non-ACO hospitals.",Do Hospitals Participating in Accountable Care Organizations Discharge Patients to Higher Quality Nursing Homes?
"OBJECTIVES: To illustrate the effects that minor social or environmental disruptions could have on the food access of low-income households in Philadelphia, Pennsylvania, and provide suggestions for how cities can better incorporate food into emergency planning. METHODS: Using publicly available data and stakeholder interviews (n = 8) in 2017, we projected the number of meals that would be missed during environmental and social disruptions in Philadelphia, a major US city with a high poverty rate. RESULTS: As our projections in Philadelphia indicate, even just 3 days of school closures could result in as many as 405 600 missed meals for school-aged children. CONCLUSIONS: These scenarios provide valuable lessons for other cities to proactively plan for food access continuity in times of uncertainty. Public Health Implications. City planners and other city agencies need to include food as a routine part of emergency planning and redefine the threshold at which emergency response protocols are triggered to better ensure protection of low-income and underserved populations. (Am J Public Health. Published online ahead of print March 21, 2019: e1-e3. doi:10.2105/AJPH.2019.304996).",Planning for Food Access During Emergencies: Missed Meals in Philadelphia.
"BACKGROUND AND PURPOSE: Treatment of metopic craniosynostosis often involves bitemporal expansion of the anterior cranium. This report compares perioperative variables of a surgical technique in which the fronto-orbital bandeau is bent in situ to traditional fronto-orbital advancement and remodeling (FOAR). METHOD/DESCRIPTION: Six patients undergoing the hinge technique were compared to the senior author's 6 most recent conventional FOARs. Study and control cohorts were reasonably well matched for age and sex; only those with nonsyndromic, single-suture metopic synostosis were included. Perioperative variables such as OR time, blood loss, hardware costs, length of stay, and perioperative complications were compared between groups using unpaired t tests. RESULTS: Operative time was significantly decreased when the hinge technique was utilized, with a mean operative time of 159 +/- 14.0 minutes for hinge patients and 193 +/- 33.8 minutes for nonhinge patients (P = 0.049). Hardware was also significantly decreased from an average of 2.2 +/- 1.0 plates and 35 +/- 13.8 screws in nonhinge patients to 1 plate and 20 screws in each hinge patient (P < 0.02), for an average hardware saving of $2990 per hinge surgery (P = 0.019). Estimated blood loss, length of stay, and perioperative complications were not significantly different between groups. All patients in both groups had Whitaker 1 outcomes in short-term follow-up. CONCLUSIONS: The hinge technique for the treatment of metopic synostosis is associated with a statistically significant decrease in operative time, hardware utilization, and hardware cost. Perioperative outcomes were similar between the hinge technique and traditional FOAR in the short term, and additional follow-up is needed to determine whether the 2 have similar long-term outcomes.",In Situ Hinge Technique for the Frontal Bandeau for the Correction of Metopic Craniosynostosis Reduces Operative Time.
"Genetic predictions of height differ among human populations and these differences have been interpreted as evidence of polygenic adaptation. These differences were first detected using SNPs genome-wide significantly associated with height, and shown to grow stronger when large numbers of sub-significant SNPs were included, leading to excitement about the prospect of analyzing large fractions of the genome to detect polygenic adaptation for multiple traits. Previous studies of height have been based on SNP effect size measurements in the GIANT Consortium meta-analysis. Here we repeat the analyses in the UK Biobank, a much more homogeneously designed study. We show that polygenic adaptation signals based on large numbers of SNPs below genome-wide significance are extremely sensitive to biases due to uncorrected population stratification. More generally, our results imply that typical constructions of polygenic scores are sensitive to population stratification and that population-level differences should be interpreted with caution. Editorial note: This article has been through an editorial process in which the authors decide how to respond to the issues raised during peer review. The Reviewing Editor's assessment is that all the issues have been addressed (see decision letter).",Polygenic adaptation on height is overestimated due to uncorrected stratification in genome-wide association studies.
"AIM: To provide multilayered combination therapies encompassing nanoparticles and organic peptides and to assess their efficacy in the treatment of arthritis. MATERIALS & METHODS: Fish oil protein (FP) was isolated from fish oil glands and tagged with spherical gold nanoparticles (GNPs). Tagged GNPs were encapsulated in DPPC liposomes (FP-GNP-DPPC) and characterized. RESULTS & CONCLUSION: FP increased the hydrophilicity of GNP, while encapsulation of FP-GNP within liposomes increased the hydrophobicity. In vitro release studies of FP-GNP-DPPC exhibited sustained release of FP in simulated synovial fluid. FP-GNP-DPPC injected into intra-articular joints of rats displayed anti-osteoarthritic effects in osteoarthritic rat model. This is the first study to report the anti-osteoarthritic activity of FP and DPPC encapsulated FP-GNP liposomes.",Liposome-encapsulated fish oil protein-tagged gold nanoparticles for intra-articular therapy in osteoarthritis.
,Commentary on King-Kallimanis et al.: Inadequate measurement of symptomatic adverse events in immunotherapy registration trials.
